Date;Temps annuel de travail (SNCF);Temps annuel de travail (France);Commentaires
1852;4300;0;
1854;4300;0;
1864;4200;0;Jusqu'en 1864, il n'existait aucune loi relative à la limitation de la durée du travail. La durée journalière du travail était d'environ 12 h, durée dépassée dans certains services (une circulaire ministérielle en date du 3 mai 1864 prescrivait de ne pas faire effectuer plus de 12 h par jour aux aiguilleurs).
1871;4200;0;
1881;4200;0;
1886;4200;0;
1891;4200;0;
1898;4100;0;
1900;3700;0;Un arrêté du 23 novembre 1899 limite à 12 h par jour la durée du travail des agents des gares du service de sécurité et prescrit pour ces agents un jour de repos par mois.
1901;3600;0;Un arrêté du 10 octobre 1901 institue pour le personnel de la voie un régime de travail analogue à celui qui avait été fixé pour le personnel des gares par l'arrêté du 23 novembre 1899.
1905;3600;0;
1906;3600;0;
1908;3250;0;
1911;3250;0;
1919;3250;0;Les Grands Réseaux accordent le repos hebdomadaire.
1920;3250;0;
1925;2384;0;
1926;2384;0;
1928;2384;0;
1937;1946;0;"La loi du 21 juin 1936 institue la semaine de 40 h; le décret du 18 janvier 1937 détermine les modalités d'application de cette loi au personnel des Chemins de fer."
1942;2408;0;
1945;2373;0;
1946;2336;0;
1947;2336;0;
1953;2232;1825;
1959;2232;1807;
1960;2256;1826;
1962;2216;1836;La durée de la semaine de travail est ramenée à 46 h (1er octobre).
1963;2147;1831;
1964;2139;1847;Le congé annuel du personnel d'exécution est fixé à 26 jours ouvrables (décision ministérielle du 13  juin 1964).
1968;2100;1798;Le congé annuel du personnel d’exécution, à service continu, est porté à 28 jours ouvrables, à partir du 1er juillet (décision ministérielle du 19 novembre 1968). La durée de la semaine de travail est ramenée à 44 h 30 (22 juillet).
1970;2016;1739;La durée de la semaine de travail est ramenée à 43 h 30 le 1er juin et à 43 h le 1er novembre.
1971;1966;1743;La durée de la semaine de travail est ramenée à 42 h le26 septembre.
1973;1886;1696;La durée de la semaine de travail est ramenée à 41 h le26 janvier.
1974;1863;1673;La durée de la semaine de travail est ramenée à 40 h le 1er juillet.
1975;1821;1653;
1976;1842;1682;
1977;1833;1651;
1979;1822;1625;
1980;1808;1621;
1984;1744;1511;
1993;1736;1485;
2000;1575;1430;La durée de la semaine de travail est ramenée à 35 h le 1er janvier.
2003;1575;1391;
2013;1589;1417;
1858;4300;0;
1861;4300;0;
1863;4300;0;
1885;4200;0;
1887;4200;0;
1890;4200;0;
1907;3250;0;Les Grands Réseaux accordent le repos hebdomadaire.
1913;3250;0;
1916;3250;0;
1917;3250;0;
1918;3250;0;
1922;2384;0;
1931;2384;0;
1933;2384;0;
1938;1951;0;
1941;2408;0;
1949;2240;0;La durée du congé annuel du personnel d'exécution est portée à 24 jours ouvrables (Protocole du 23 décembre 1948).
1950;2232;1823;
1951;2240;1858;
1966;2131;1843;
1982;1736;1533;La durée de la semaine de travail est ramenée à 39 h le 1er février.
1985;1736;1485;
1986;1736;1483;
1989;1728;1497;
1991;1736;1488;
1997;1736;1460;
1998;1736;1452;
2002;1582;1387;
2008;1596;1433;
2009;1589;1419;
2011;1603;1435;
1855;4300;0;
1856;4300;0;
1860;4300;0;
1866;4200;0;
1868;4200;0;
1869;4200;0;
1883;4200;0;
1884;4200;0;
1889;4200;0;
1894;4100;0;Une circulaire ministérielle en date du 4 mai 1894 limite à 10 h par jour la durée du travail des mécaniciens et des chauffeurs.
1896;4100;0;
1903;3600;0;
1904;3600;0;
1910;3250;0;
1921;2384;0;
1934;2384;0;
1936;2336;0;Les Grands Réseaux accordent le repos hebdomadaire.
1940;2782;0;
1957;2232;1809;
1967;2116;1818;
1969;2040;1748;
1981;1792;1604;
2001;1582;1415;
2004;1589;1414;
2016;1603;1418;
1851;4300;0;
1853;4300;0;
1862;4300;0;
1865;4200;0;
1870;4200;0;
1872;4200;0;
1877;4200;0;
1879;4200;0;
1882;4200;0;
1888;4200;0;
1897;4100;0;
1899;3700;0;"Un arrêté ministériel du 4 novembre 1899 fixe la durée du travail des agents du personnel des trains à 10 h. avec repos de 24 h tous les 15 jours, et prescrit d'attribuer un repos de 24 h tous les 10 jours aux mécaniciens et chauffeurs. 
Un arrêté du 23 novembre 1899 limite à 12 h par jour la durée du travail des agents des gares du service de sécurité et prescrit pour ces agents un jour de repos par mois."
1912;3250;0;
1915;3250;0;
1923;2384;0;
1927;2384;0;
1930;2384;0;
1948;2280;0;
1952;2240;1839;
1955;2240;1844;
1956;2232;1816;
1958;2224;1803;
1965;2124;1842;
1972;1925;1704;
1983;1744;1516;
1990;1736;1498;
1994;1736;1484;
2005;1596;1416;
2006;1582;1400;
2012;1596;1429;
2015;1589;1412;
1857;4300;0;
1859;4300;0;
1867;4200;0;
1873;4200;0;
1874;4200;0;
1875;4200;0;
1876;4200;0;
1878;4200;0;
1880;4200;0;
1892;4200;0;
1893;4200;0;
1895;4100;0;
1902;3600;0;
1909;3250;0;
1914;3250;0;
1924;2384;0;
1929;2384;0;
1932;2384;0;
1935;2384;0;
1939;2359;0;
1943;2558;0;
1944;2519;0;Instructions du Service Central du Personnel prescrivant le rétablissement de la semaine de 48 h (1er  septembre).
1954;2224;1844;
1961;2232;1817;
1978;1825;1625;
1987;1736;1497;
1988;1752;1508;
1992;1744;1491;
1995;1728;1466;
1996;1744;1463;
1999;1736;1450;
2007;1589;1424;
2010;1589;1428;
2014;1589;1412;
2017;1582;1405;
2018;1589;1396;
